,ALLOTHL,AOA,ASDROTH,ASDRRES,BKPREM,CERT,CHBAL,EDCM,EQTOT,ESTINS,FREPP,FX,ID,INTAN,LNAG,LNAUTO,LNCI,LNCONOTH,LNCONRP,LNCRCD,LNOTCI,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,LOCCOM,LOCFPSB,LOCFSB,LOCPSB,NAASSET,NACDIR,NAME,NETINC,NTRCOMOT,NTRFCFG,NTRIPC,NTRMUNI,NTRUSGOV,ORE,OTBFH1L,OTHBRF,P3ASSET,P9ASSET,PARTCONV,RBCT1CER,RBCT1J,REPDTE,RT,RWAJT,SCABS,SCASPNSUM,SCCMOG,SCCMOS,SCCOL,SCCPTG,SCFMN,SCGNM,SCMUNI,SCODOT,SCRMBPI,SCSFP,SCUST,SUBND,SZISLOTH,SZLAUTO,SZLNCI,SZLNCON,SZLNCRCD,SZLNHEL,SZLNOTH,SZLNRES,TRADEL,TRNCBO,TRNIPCOC,TRNMUNI,TRNUSGOV,UC,UCCOMRE,UCCRCD,UCLOC,UCOTHER,UCSC
0,41,742,,,207,8758,1165,,2494,67.2541322,0,,8758_20230331,0,4200,1314,14908,378,1,0,654,6038,0,29,26,8919,0,0,0,0,2849,0,CITIZENS BANK,253,0,0,18606,380,0,135,0,0,319,1180,,11.32,4911,20230331,0,43402,0,0,0,0,7804,0,170,,543,0,3712,0,4789,0,,,,,,,,,0,0,25191,15149,0,2380,0,0,0,2380,
0,1024,6916,,,1956,25851,7728,,8207,71.60540337,0,,25851_20221231,578,26774,2234,5774,373,274,0,266,14464,0,0,2512,2244,0,300,300,0,152,0,HEARTLAND TRI-STATE BANK,1112,0,0,60852,18695,0,44,0,0,1166,777,,16.96,12824,20221231,0,75631,0,0,0,0,5146,1057,21858,,23525,0,0,0,0,0,,,,,,,,,0,0,39591,10830,0,11624,0,0,0,11624,
0,3251700,7915306,0,0,1734092,59017,5532016,0,17119168,31.20655387,0,5638545,59017_20220930,231212,0,0,3764399,7021272,6761,0,16054362,111182,3434827,20363982,11055752,96954632,0,1260393,1260393,0,119632,0,FIRST REPUBLIC BANK,1279409,9642,0,147045603,739872,0,0,7125000,11499560,16925,0,,9.28,17218857,20220930,0,146444273,0,0,5586947,0,1262847,1046480,2584664,100149,19427775,1412644,19182,0,0,779112,30232,0,0,0,0,0,47361,167728,76702,23610,24030012,533704,0,47897359,4933993,0,7230701,35732665,0
0,1499315,2391759,0,0,346111,57053,14706705,3080,8031806,9.012553699,150000,1144414,57053_20220630,60,0,0,38229806,64555,136652,0,2709420,0,1498582,17300022,12606405,455632,17868,769682,769682,0,167889,82911,SIGNATURE BANK,677736,5295,0,88028930,1233729,0,0,1490780,1574518,152426,49077,,9.98,9461117,20220630,10082907,87661111,29690,0,0,94532,11850706,0,7713508,85931,259580,1500857,979355,45659,158691,570926,0,,,,,,0,0,0,0,14761018,111266,0,25625229,307133,2382,27192,25288522,0
0,2162000,3871000,0,0,173000,24735,14269000,80000,15386000,5.514182674,50000,19372000,24735_20220630,291000,0,0,17803000,111000,394000,0,40560000,763000,399000,670000,1802000,8452000,104000,3824000,3742000,82000,93000,229000,SILICON VALLEY BANK,1018000,7000,0,167359000,96000,0,1000,3500000,3653000,59000,0,,15.39,16349000,20220630,10207000,106258000,0,0,16361000,0,11980000,0,58672000,9780000,7451000,710000,0,0,16298000,0,0,0,0,0,0,0,0,0,420000,3000,7465000,27000,0,46875000,886000,2113000,325000,43551000,0
0,329,1265,0,0,2882,15426,873,0,3958,93.76106066,383,0,15426_20200331,0,17070,1611,13039,917,0,0,4,7120,0,0,11946,3643,0,53,53,0,10794,0,ALMENA STATE BANK,-91,38199,0,12360,824,0,718,0,0,2240,349,,6.36,3858,20200331,0,60644,0,0,0,0,244,0,0,4147,629,0,0,0,8078,0,0,,,,,,0,0,0,263,16302,907,0,4470,97,0,0,4373,0
0,446,2262,,,8285,16748,26508,,3267,91.07145721,0,,16748_20200331,0,0,70,7073,609,237,0,30,1724,12460,7091,20156,19928,0,10,10,0,2146,0,FIRST CITY BANK OF FLORIDA,-369,248,0,50610,20,0,22597,10000,10000,5275,2594,,3.27,3064,20200331,0,93832,0,0,0,0,2811,3979,1345,,0,0,0,0,0,0,,,,,,,,,0,0,73300,363,0,13498,1697,0,561,11240,
0,2052,6539,,,3547,14361,21576,,3685,96.25886512,0,,14361_20190930,0,0,379,16187,2227,22,576,1291,154,9484,1430,19202,45141,0,222,222,0,17385,0,FIRST STATE BANK,-2200,0,0,96934,89,0,21175,10300,16100,4469,2385,,3,3562,20190930,8890,118829,0,0,0,0,0,0,0,,553,0,0,0,0,0,,,,,,,,,0,8,37161,1696,0,10244,894,3259,2298,3793,
0,550,3049,,,284,18265,2084,,8186,95.45857885,0,,18265_20190630,0,42802,2406,9318,4371,0,0,199,26812,0,0,4143,5465,0,0,0,0,7176,0,ERICSON STATE BANK,922,35246,0,36118,15760,3500,0,0,0,54,0,,8.85,8186,20190630,0,92479,0,0,0,0,0,0,0,,2043,0,0,0,1192,0,,,,,,,,,0,0,7697,1679,3,9884,0,0,1227,8657,
0,3104,7348,,,1887,21111,34420,,5391,65.06062497,0,,21111_20190331,0,0,0,4608,898,0,325,4398,0,2230,2768,45834,22887,0,122,0,122,2233,0,CITY NB OF NEW JERSEY,1098,919,0,51505,13683,0,414,0,0,1269,661,,6.92,6157,20190331,0,88997,0,0,0,0,19042,3406,5614,,0,1370,0,793,0,0,,,,,,,,,0,0,59170,22150,0,4122,1230,1307,151,1434,
0,707,277,,,172,58317,10545,,555,92.72779771,0,,58317_20190331,0,0,153,5076,686,78,0,196,0,75,299,4259,4038,0,0,0,0,951,0,RESOLUTE BANK,-716,0,0,14292,9,0,52,0,0,659,0,,4.14,556,20190331,0,13428,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,0,9924,0,0,4530,0,0,2333,2197,
0,110,1193,,,906,58112,1802,,2255,90.34205231,0,,58112_20190331,0,0,195,5842,1259,0,0,442,1341,1103,1868,4435,5751,0,0,0,0,3233,0,LOUISA COMMUNITY BANK,-312,3755,0,18293,853,0,577,1600,1763,1138,0,,5.97,1485,20190331,0,24882,0,0,0,0,0,0,292,,0,0,0,0,0,0,,,,,,,,,0,0,4238,176,0,1468,984,0,2,482,
0,88,1507,,,275,10716,2167,,3528,95.21621622,0,,10716_20180930,0,8933,128,7083,0,2459,0,0,3096,0,0,1316,6265,0,0,0,0,0,0,ENLOE STATE BANK,435,0,0,19504,500,0,96,2000,2000,176,0,,12.39,3528,20180930,0,28486,0,0,0,0,0,0,0,,0,0,2,0,1995,0,,,,,,,,,0,0,7388,2160,0,451,0,0,0,451,
0,1214,3941,,,2558,30570,21311,,19856,89.39735481,0,,30570_20170331,0,0,0,0,4,0,0,0,0,2531,3923,8876,115432,0,0,0,0,0,0,WASHINGTON FED BK FOR SVG,532,0,0,131679,0,0,0,0,0,580,0,,24.72,19561,20170331,0,79116,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,0,0,5245,0,0,727,727,0,0,0,0
0,68,1022,,,1351,17719,1052,,2181,91.23818833,0,,17719_20170331,0,9424,577,2296,328,0,0,56,6540,1086,0,3430,6931,0,0,0,0,3753,0,FARMERS&MERCHANTS STB ARGONI,-195,0,0,19832,803,0,380,0,3500,1344,127,,8.34,2199,20170331,0,26361,0,0,0,0,0,0,633,161,1166,0,0,0,0,0,,,,,,,,,0,0,8534,1486,0,4202,286,0,0,3916,0
0,48,526,0,0,134,1802,684,0,1533,95.27381194,0,0,1802_20160930,0,2005,1095,5436,889,0,0,307,2908,699,23,1095,14361,0,0,0,0,2746,0,FAYETTE COUNTY BANK,-749,0,0,26131,1494,0,90,0,0,1476,2674,,5.4,1404,20160930,0,25988,0,0,0,0,322,0,699,586,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141,1746,0,920,0,0,0,920,0
0,8530,119416,0,0,12377,30003,75103,0,19536,98.78768776,0,0,30003_20160930,820,0,1,841,28125,0,0,212384,0,2627,0,1741,540046,40,0,0,0,37608,0,GUARANTY BANK,-5349,0,0,822899,0,0,2389,0,0,4610,361,,-4.37,18914,20160930,0,713515,0,0,0,0,0,0,8313,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144304,0,0,3888,380,0,1732,1776,0
0,39846,550171,0,26039,59538,58302,99434,0,467251,66.67751501,160382,0,58302_20160930,17082,0,2391,1369325,16041,8187,2101,8208,857,436667,287915,1329740,453115,0,136590,136590,0,169648,0,FIRST NBC BANK,38089,6515,0,3383683,250107,0,7467,59619,415114,18214,40,,7.67,351014,20160930,590000,4573543,0,0,0,0,128232,0,9577,22837,40647,0,0,0,13057,0,0,0,0,0,0,0,0,0,0,19278,153070,26930,0,721312,27547,14427,17921,661417,0
0,3147,2219,0,0,376,35495,12655,0,2333,96.47318063,0,0,35495_20160630,0,0,0,11066,0,0,0,623,0,11294,0,29301,5143,0,0,0,0,1308,0,PROFICIO BANK,-2499,0,0,84881,0,0,3632,0,0,500,0,,3.87,2191,20160630,0,56587,0,0,0,0,3492,0,6213,2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,22423,4248,0,0,18175,0
0,6465,59030,0,0,8196,19328,75441,0,26937,90.26217599,0,0,19328_20160630,325,0,163,21561,781,549,399,0,0,9191,7292,98895,85015,0,246,0,246,33489,0,SEAWAY BANK&TRUST CO,-6836,3074,0,196370,3121,1805,4556,34850,42700,2016,4277,,5.5,11753,20160630,0,213816,0,0,0,0,124,0,2328,3639,0,0,1159,0,749,0,0,0,0,0,0,0,0,0,0,3259,76954,18093,3,33170,3377,484,1685,27624,0
0,487,898,0,0,2506,34951,7266,0,2908,95.99214982,0,0,34951_20160630,0,7234,0,19301,1065,0,0,9,2297,10121,4612,24713,35223,0,651,0,651,16797,0,HARVEST COMMUNITY BANK,-702,0,0,102762,97,0,2792,2000,2000,3113,0,,2.81,2833,20160630,0,100764,0,0,0,0,4540,0,4891,5105,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,23846,84,10,8778,227,0,4428,4123,0
0,203,1261,0,0,2715,91,13071,0,5789,93.40199725,0,0,91_20151231,0,101,627,14741,1869,0,0,114,1691,3821,1209,13569,12715,0,10,10,0,3901,0,ALLIED BANK,-2254,0,0,43943,943,0,8096,0,0,2405,2442,,10.34,5777,20151231,0,55875,0,0,0,0,1519,0,1009,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24852,3596,1,3706,45,0,97,3564,0
0,58,566,0,0,158,11297,2753,0,640,100,0,0,11297_20151231,0,24,393,824,597,0,0,2,989,360,0,2876,4069,0,0,0,0,942,0,WOODBURY BANKING CO,-780,0,0,14018,337,0,2217,0,0,870,112,,4.87,685,20151231,0,14062,0,0,0,0,0,0,0,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941,567,12,608,476,0,0,132,0
0,179,1068,0,0,676,35312,36271,0,3036,92.76778334,0,0,35312_20150930,0,263,436,1912,619,0,0,2549,0,1276,1344,31175,16931,0,55,0,55,4574,0,FIRST CORNERSTONE BANK,-3380,12306,0,83412,1234,0,7419,0,0,3175,349,,5.18,3262,20150930,0,62969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10698,0,0,3374,923,0,1504,947,0
0,141,1897,0,0,1979,9956,8070,0,693,99.99541095,0,0,9956_20150930,0,20,93,2625,73,0,0,0,77,567,0,2180,6330,0,0,0,0,955,0,TRUST CO BANK,-799,11402,0,6822,252,0,935,2400,2400,925,0,,4.8,684,20150930,27007,14261,0,0,0,0,13,0,40,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,410,0,210,0,0,14,196,0
0,267,2453,0,0,850,20364,2334,0,4526,91.44616049,0,0,20364_20150630,0,0,373,2180,509,0,0,0,0,0,1601,33099,8519,0,5,5,0,8215,0,NORTH MILWAUKEE STATE BANK,-1097,15633,0,32488,6974,0,4780,500,1932,2179,0,,4.25,2505,20150630,0,58988,2968,0,0,0,5873,0,178,204,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9099,519,0,1833,514,0,116,1203,0
0,42,170,0,0,0,35156,3414,0,418,99.95491434,0,0,35156_20150331,0,0,0,1199,0,56,0,0,0,0,261,1205,1189,0,0,0,0,55,0,HOMETOWN NATIONAL BANK,-207,249,0,3863,0,0,0,0,0,0,0,,13.02,418,20150331,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,2,0,0,0,2,0
